,output,task
0,is upset that he cant update his Facebook by texting it... might cry as a result  School today also. Blah!,"He is upset that he can't update his Facebook by texting it, and might cry as a result. He also has school today."
1,I dived many times for the ball. Managed to save 50%  The rest go out of bounds,"I dove for the ball many times, and managed to save 50%, but the rest went out of bounds."
2,my whole body feels itchy and like its on fire ,My whole body feels itchy and like it's on fire.
3,"no, its not behaving at all. im mad. why am i here? because I can't see you all over there. ","No, it's not behaving at all, so I'm mad. Why am I here? I can't see you all the way over there."
4,"hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","Hey, long time no see! Yes, it is raining a bit, but only a bit. I'm fine, thanks. How are you?"
5,nope they didnt have it ,"No, they didn't have it."
6,"It it counts, idk why I did either. you never talk to me anymore ","If it counts, I don't know why I did either. You never talk to me anymore."
7,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Hollis' death scene will severely hurt to watch on film. Why isn't the director's cut out now?
8,ahh ive always wanted to see rent  love the soundtrack!!,I've always wanted to see Rent! I love the soundtrack!
9,I baked u a cake but I ated it ,"I baked you a cake, but I ate it. "
10,im sad now  Miss.Lilly,"I'm sad now, Miss Lilly. "
11,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,"Oh, that's Leslie! Okay, I won't do it again, so Leslie won't get mad. "
12,some1 hacked my account on aim  now i hav to make a new one,"Someone hacked my account on AIM, and now I have to make a new one."
13,I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,"I want to go to promote 'Gear and Groove', but unfortunately I have no ride there. I may be going to the one in Anaheim in May, though."
14,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,"I thought sleeping in was going to be an option tomorrow, but I am now realizing that it isn't since I have evaluations in the morning and work in the afternoon. "
15,awe i love you too!!!! 1 am here  i miss you,"I love you, too! It is 1 AM here and I miss you. "
16,ill tell ya the story later  not a good day and ill be workin for like three more hours...,"I'll tell you the story later, but it's not a good day and I'll be working for three more hours. "
17,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,"I really don't feel like getting up today, but I've got to study for tomorrow's practical exam. "
18,Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,I so wish I was there to see you finally being comfortable! I'm sad that I missed it.
19,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ","I put the vacation photos online a few years ago, but my computer crashed, and now I forgot the name of the site. "
20,"Not sure what they are! As much as I want to, I dont think can trade away company assets sorry andy! ","I'm not sure what they are. As much as I want to, I don't think I can trade company assets. Sorry, Andy!"
21,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,"Where did you move to? I thought you were already in San Diego? It's random that you found me, but glad to hear you're doing well!"
22,"I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",I miss my PS3. It's out of commission. What are you playing? Did you get 'Blood On the Sand'? 
23,just leaving the parking lot of work! ,I'm just leaving the parking lot at work. 
24,too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,It's too bad that I won't be around. I lost my job and can't even pay my phone bill.
25,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?","More jobs, no money. How in the hell is minimum wage here 4 dollars an hour? "
26,Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,"Dude, I don't really look at them unless someone says 'Hey, I added you!' Sorry I'm so terrible at that, I need a pop-up! "
27,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,He wonders why someone that you like so much can make you so unhappy in a split second. I'm depressed.
28,"just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",I just got your newsletter. Those fares are really unbelievable. It's a shame I already booked and paid for mine.
29,hey missed ya at the meeting  sup mama,"I missed you at the meeting. What's up, mama?"
30,wednesday my b-day! don't know what 2 do!! ,Wednesday is my birthday and I don't know what to do! 
31,"hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike","Do you really enjoy being with him? If the problems are constant, you should think about things more, and find someone you like. "
32,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....","Rylee and Grace, do you want to go to Steve's party or not? Sadly, since it's Easter, I won't to be able to do much, but oh well. "
33,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,It's a bad night for my favorite teams: Astros and Spartans lost. The night out with T.W. was good. 
34,"cool, i will. their are all kinds of complaints about this laptop online bout overheating, but no recalls ","Cool, I will. There are all kinds of complaints about this laptop online about overheating, but there haven't been any recalls."
35,hope your ok.,I hope you're okay. 
36,yeah aw but i know i wudnt stand a chance ,"Yeah, but I know I wouldn't stand a chance. "
37,ugh. cant sleep. its 1:30am. ,I can't sleep and it's 1:30 AM. 
38,aaw i miss ya all too.. im leaving to BH tomorrow 'morning'; i think.. aww i wanna go to the beach w u girls!! ,"I miss you all too. I'm leaving to BH tomorrow morning, I think. I want to go to the beach with you girls!"
39,Im missing you babe..  but as long as ur alive I'm happy.. Yawwwnn.. im tired my love imma try to sleep hopefully u had a headstart,"I'm missing you, babe, but as long as you're alive, I'm happy. I'm tired, my love. I'm going to try to sleep, so hopefully you had a head start!"
40,No phantasy star yesterday  going to work...,No fantasy ftar yesterday. I'm going to work.
41,I had on my page for sooooo long!!! Until it got deleted  Sad day in history,I had it on my page for so long until it got deleted. It's a sad day in history.
42,Grrr.. my ipods acting weird to! Jai ho and thinking of you arent playing the full songs.. ughh. ,"My iPod's acting weird, too. 'Jai Ho' and 'Thinking of You' aren't playing the full songs."
43,danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,"Danny, I'm upset that I wasn't here to watch the live chat, since I was in a car for 3 hours on a trip. I'm so upset! "
44,is watching the hill . . .and its making me sad ,"He is watching the hill, and it's making me sad."
45,I miss my buddy ill be in NY on the 25th,I miss my buddy. I'll be in New York on the 25th. 
46,wanttss to go out ,He wants to go out.
47,Is not going to sleep tonite. ,He is not going to sleep tonight.
48,i think ur right!! hahaha!! 4.5 hrs now!! ,I think you're right! It's been 4.5 hours now!
49,"I'm goin' to follow u, since u didn't  LOL  GO ANGELS!","I'm going to follow you, since you didn't. GO ANGELS!"
50,u guys r the best!!,You guys are the best!
51,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,I'm meeting up with one of my best friends tonight! Can't wait! We'll have GIRL TALK!
52,Thans for your response. Ihad already find this answer,Thanks for your response. I had already found this answer.
53,crazy day of school. there for 10 hours straiiight. bout to watch the hills.,It was a crazy day of school. I was there for 10 hours straight. I am about to watch The Hills.
54,you shud do tha same,You should do the same.
55,kitteh is sleepin on my crotch which proves she likes me more,The kitten is sleeping on my crotch which proves she likes me more.
56,hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?,"Oh my God! We were both laughing off the hood! Because that's how we roll, right Shelly?"
57,having a long conversation with mom on phone,I'm having a long conversation with Mom on the phone.
58,yayyy! lol. i just requested herrr. what did she say?,Yay! I just requested her. What did she say?
59,today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know ,"Today is our two month anniversary! I love you so much, Diana. Oh my God, you don't even know!"
60,Just tryna get inspired thats all,"Just trying to get inspired, that's all."
61,Aw dont you love that  I love for those days! Thanks about the pic ,"Oh, don't you love that I live for those days! Thank you for the picture!"
62,hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much,"My hand is still pretty weak. I can't punch anyone out yet or turn knobs, but it doesn't hurt too much."
63,your telling me.. just finished doing 200 crunches! LETS GO!,You're telling me! I just finished doing 200 crunches! Let's Go!
64,ur home is where? ohhh i nkow lexington ky rite next to me,"Where is your home? Oh, I know Lexington, KY. It is right next to me."
65,Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing!,I just spoke with my family in Japan via Skype. I love to see my little 16 month old nephew growing!
66,haha! i'm not saying u should try it.. but maybe u should,"I'm not saying you should try it, but maybe you should."
67,"back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!","I'm back from school, it was a long walk. It's so flipping cold outside. Two days ago it was sunny, the next day it was raining and today it's snowing!"
68,k. ill try to figure it out. gonna go to bed. night night,"Okay, I'll try to figure it out. I'm going to go to bed. Goodnight."
69,Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!,"Oh, It's real, Jon! We all are so excited that you and the guys came back for us. We appreciate all that you put out there!"
70,Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' ,"Thank you! I am at home pretty much anywhere, provided I have broadband. Just kidding."
71,Callin it a night! I always have the best sleep after a gud workout!!,I am calling it a night! I always have the best sleep after a good workout!
72,"hmmm, sure sure  so what r u upto ? hows the day for u?","Hmmm, sure. So what are you up to? How was your day?"
73,I agree.  My kids got 'Who am I' 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV,I agree. My kids got 'Who am I' for Christmas. It has been fun but I caught my 4 year old cheating by looking in the reflection of the TV.
74,WHATCHA CHUCKLIN BOUT MS.YEN,What are you laughing about Ms. Yen?
75,"Hellz yeah, definitely downloading. Thanks ","Hell yeah, I'm definitely downloading it. Thanks."
76,we are so stinkin cute,We are so stinking cute.
77,pullin an all nighter wit my bffl madison,"I am pulling an all nighter with my best friend for life, Madison."
78,"going to bed. My bb isn't working and I'm bored.  Night all. Love me harder tomorrow, than you did today.","I'm going to bed. My baby isn't working and I am bored. Goodnight everyone. Tomorrow, love me harder than you did today."
79,ROflmao... niqqa please. you ackin' a fool now.,"I'm laughing so hard. Nigger please, you are acting like a fool right now."
80,oh oh oh!!! gonna go buy Twilight on DVD today  I have to extend my overdraft for the 2nd time in as many weeks so I may aswell!!,"Oh! I'm going to go buy Twilight on DVD today. I have to extend my overdraft for the second time in as many weeks, so I might as well!"
81,just got home from school (: meant to be getting my hair cut .. but i cbf. lol dancing soon,I just got home from school. I meant to get my hair cut but I can't. I am dancing soon.
82,"Sleeeeeeeeeep, then an interview tomorrow! Wish me luck ","I'm going to sleep, I have an interview tomorrow! Wish me luck."
83,not there yet. And i beleive so  red carpet sighting i hope.,I'm not there yet. And I believe so. I hope there is a red carpet sighting.
84,Couldnt agree more!The unison and committment was incredible.Considering the pressure they r under made it all the more amazing,I couldn't agree more! The unity and commitment was incredible. Considering the pressure they are under made it all the more amazing.
85,heyyyyyy want to hook it up!! lol,"Hey, I want to get together."
86,I'm gunnna do both of those things,I'm going to do both of those things.
87,"Congrats from Peru! You were/are amazing! i was speechless,thank u so much! come here someday plz, ill wait forever seriously! ","Congratulations from Peru! You were and are amazing! I was speechless, thank you so much! Please come her someday, I'll seriously wait forever."
88,Much Luv to Mary and John who's now following me on twitter!!,"Sending much love to Mary and John, who are now both folling me on Twitter."
89,God sho love him some me  feeling really really blessed tonight++++++,God sure does love me. I'm feeling really blessed tonight.
90,LOL not yet my brutha from anotha mutha,Not yet my brother from another mother.
91,"hum nice 1! lol take something..LOL yeah party over there, haha u kno them drunk ass's  Will i b seeing you @ Janets party??","Nice one! I'll take something. Yeah, there's a party over there. You know how much they drink. Will I be seeing you at Janet's party?"
92,Sorry I am talking to my best friend.. So I havent replied!!  But I can talk to you too!,"I am sorry, I am talking to my best friend so I haven't replied! But I can talk to you, too."
93,oh ok then im gonna go and buy one for when i come up there,"Oh, ok. Then I'm going to go and buy one for when I come visit."
94,"Goooooood morning, Chubbx  how are you today?","Good morning, Chubbx! How are you today?"
95,thats most excellent  lotsa people loving you hehe *Winks*,That is most excellent! There are a lot of people loving you.
96,"Juz watchin' 3 eps. of your show HM, I must say I instantly became a fan of urs! Lovin' ur humor so mucho! More power 2 u! ","I'm just watching three episodes of your show HM. I must say, I instantly became a fan of yours! I am loving your humor so much! More power to you!"
97,HEYYYYYYYYYYY YOU,Hey you!
98,"Studying philosophy and math... BLAH aka listening to music and on twitter, facebook, and myspace ","I'm studying philosophy and math, also known as listening to music and being on Twitter, Facebook and Myspace."
99,Will u ask Donnie if he got the gift from my 9 yr old lastnight?,Will you ask Donnie if he got the gift from my 9 year old last night?
100,"'He is upset that he can't update his Facebook by texting it, and might cry as a result. He also has school today.'","'He is upset that he can't update his Facebook by texting it, and might cry as a result. He also has school today.'"
101,"'I dove for the ball many times, and managed to save 50%, but the rest went out of bounds.'","'I dove for the ball many times, and managed to save 50%, but the rest went out of bounds.'"
102,'My whole body feels itchy and like it's on fire.','My whole body feels itchy and like it's on fire.'
103,"'No, it's not behaving at all, so I'm mad. Why am I here? I can't see you all the way over there.'","'No, it's not behaving at all, so I'm mad. Why am I here? I can't see you all the way over there.'"
104,"'Hey, long time no see! Yes, it is raining a bit, but only a bit. I'm fine, thanks. How are you?'","'Hey, long time no see! Yes, it is raining a bit, but only a bit. I'm fine, thanks. How are you?'"
105,"'No, they didn't have it.'","'No, they didn't have it.'"
106,"'If it counts, I don't know why I did either. You never talk to me anymore.'","'If it counts, I don't know why I did either. You never talk to me anymore.'"
107,'Hollis' death scene will severely hurt to watch on film. Why isn't the director's cut out now?','Hollis' death scene will severely hurt to watch on film. Why isn't the director's cut out now?'
108,'I've always wanted to see Rent! I love the soundtrack!','I've always wanted to see Rent! I love the soundtrack!'
109,"'I baked you a cake, but I ate it. '","'I baked you a cake, but I ate it. '"
110,"'I'm sad now, Miss Lilly. '","'I'm sad now, Miss Lilly. '"
111,"'Oh, that's Leslie! Okay, I won't do it again, so Leslie won't get mad. '","'Oh, that's Leslie! Okay, I won't do it again, so Leslie won't get mad. '"
112,"'Someone hacked my account on AIM, and now I have to make a new one.'","'Someone hacked my account on AIM, and now I have to make a new one.'"
113,"'I want to go to promote 'Gear and Groove', but unfortunately I have no ride there. I may be going to the one in Anaheim in May, though.'","'I want to go to promote 'Gear and Groove', but unfortunately I have no ride there. I may be going to the one in Anaheim in May, though.'"
114,"'I thought sleeping in was going to be an option tomorrow, but I am now realizing that it isn't since I have evaluations in the morning and work in the afternoon. '","'I thought sleeping in was going to be an option tomorrow, but I am now realizing that it isn't since I have evaluations in the morning and work in the afternoon. '"
115,"'I love you, too! It is 1 AM here and I miss you. '","'I love you, too! It is 1 AM here and I miss you. '"
116,"'I'll tell you the story later, but it's not a good day and I'll be working for three more hours. '","'I'll tell you the story later, but it's not a good day and I'll be working for three more hours. '"
117,"'I really don't feel like getting up today, but I've got to study for tomorrow's practical exam. '","'I really don't feel like getting up today, but I've got to study for tomorrow's practical exam. '"
118,'I so wish I was there to see you finally being comfortable! I'm sad that I missed it.','I so wish I was there to see you finally being comfortable! I'm sad that I missed it.'
119,"'I put the vacation photos online a few years ago, but my computer crashed, and now I forgot the name of the site. '","'I put the vacation photos online a few years ago, but my computer crashed, and now I forgot the name of the site. '"
120,"'I'm not sure what they are. As much as I want to, I don't think I can trade company assets. Sorry, Andy!'","'I'm not sure what they are. As much as I want to, I don't think I can trade company assets. Sorry, Andy!'"
121,"'Where did you move to? I thought you were already in San Diego? It's random that you found me, but glad to hear you're doing well!'","'Where did you move to? I thought you were already in San Diego? It's random that you found me, but glad to hear you're doing well!'"
122,'I miss my PS3. It's out of commission. What are you playing? Did you get 'Blood On the Sand'? ','I miss my PS3. It's out of commission. What are you playing? Did you get 'Blood On the Sand'? '
123,'I'm just leaving the parking lot at work. ','I'm just leaving the parking lot at work. '
124,'It's too bad that I won't be around. I lost my job and can't even pay my phone bill.','It's too bad that I won't be around. I lost my job and can't even pay my phone bill.'
125,"'More jobs, no money. How in the hell is minimum wage here 4 dollars an hour? '","'More jobs, no money. How in the hell is minimum wage here 4 dollars an hour? '"
126,"'Dude, I don't really look at them unless someone says 'Hey, I added you!' Sorry I'm so terrible at that, I need a pop-up! '","'Dude, I don't really look at them unless someone says 'Hey, I added you!' Sorry I'm so terrible at that, I need a pop-up! '"
127,'He wonders why someone that you like so much can make you so unhappy in a split second. I'm depressed.','He wonders why someone that you like so much can make you so unhappy in a split second. I'm depressed.'
128,'I just got your newsletter. Those fares are really unbelievable. It's a shame I already booked and paid for mine.','I just got your newsletter. Those fares are really unbelievable. It's a shame I already booked and paid for mine.'
129,"'I missed you at the meeting. What's up, mama?'","'I missed you at the meeting. What's up, mama?'"
130,'Wednesday is my birthday and I don't know what to do! ','Wednesday is my birthday and I don't know what to do! '
131,"'Do you really enjoy being with him? If the problems are constant, you should think about things more, and find someone you like. '","'Do you really enjoy being with him? If the problems are constant, you should think about things more, and find someone you like. '"
132,"'Rylee and Grace, do you want to go to Steve's party or not? Sadly, since it's Easter, I won't to be able to do much, but oh well. '","'Rylee and Grace, do you want to go to Steve's party or not? Sadly, since it's Easter, I won't to be able to do much, but oh well. '"
133,'It's a bad night for my favorite teams: Astros and Spartans lost. The night out with T.W. was good. ','It's a bad night for my favorite teams: Astros and Spartans lost. The night out with T.W. was good. '
134,"'Cool, I will. There are all kinds of complaints about this laptop online about overheating, but there haven't been any recalls.'","'Cool, I will. There are all kinds of complaints about this laptop online about overheating, but there haven't been any recalls.'"
135,'I hope you're okay. ','I hope you're okay. '
136,"'Yeah, but I know I wouldn't stand a chance. '","'Yeah, but I know I wouldn't stand a chance. '"
137,'I can't sleep and it's 1:30 AM. ','I can't sleep and it's 1:30 AM. '
138,"'I miss you all too. I'm leaving to BH tomorrow morning, I think. I want to go to the beach with you girls!'","'I miss you all too. I'm leaving to BH tomorrow morning, I think. I want to go to the beach with you girls!'"
139,"'I'm missing you, babe, but as long as you're alive, I'm happy. I'm tired, my love. I'm going to try to sleep, so hopefully you had a head start!'","'I'm missing you, babe, but as long as you're alive, I'm happy. I'm tired, my love. I'm going to try to sleep, so hopefully you had a head start!'"
140,'No fantasy ftar yesterday. I'm going to work.','No fantasy ftar yesterday. I'm going to work.'
141,'I had it on my page for so long until it got deleted. It's a sad day in history.','I had it on my page for so long until it got deleted. It's a sad day in history.'
142,"'My iPod's acting weird, too. 'Jai Ho' and 'Thinking of You' aren't playing the full songs.'","'My iPod's acting weird, too. 'Jai Ho' and 'Thinking of You' aren't playing the full songs.'"
143,"'Danny, I'm upset that I wasn't here to watch the live chat, since I was in a car for 3 hours on a trip. I'm so upset! '","'Danny, I'm upset that I wasn't here to watch the live chat, since I was in a car for 3 hours on a trip. I'm so upset! '"
144,"'He is watching the hill, and it's making me sad.'","'He is watching the hill, and it's making me sad.'"
145,'I miss my buddy. I'll be in New York on the 25th. ','I miss my buddy. I'll be in New York on the 25th. '
146,'He wants to go out.','He wants to go out.'
147,'He is not going to sleep tonight.','He is not going to sleep tonight.'
148,'I think you're right! It's been 4.5 hours now!','I think you're right! It's been 4.5 hours now!'
149,"'I'm going to follow you, since you didn't. GO ANGELS!'","'I'm going to follow you, since you didn't. GO ANGELS!'"
150,'You guys are the best!','You guys are the best!'
151,'I'm meeting up with one of my best friends tonight! Can't wait! We'll have GIRL TALK!','I'm meeting up with one of my best friends tonight! Can't wait! We'll have GIRL TALK!'
152,'Thanks for your response. I had already found this answer.','Thanks for your response. I had already found this answer.'
153,'It was a crazy day of school. I was there for 10 hours straight. I am about to watch The Hills.','It was a crazy day of school. I was there for 10 hours straight. I am about to watch The Hills.'
154,'You should do the same.','You should do the same.'
155,'The kitten is sleeping on my crotch which proves she likes me more.','The kitten is sleeping on my crotch which proves she likes me more.'
156,"'Oh my God! We were both laughing off the hood! Because that's how we roll, right Shelly?'","'Oh my God! We were both laughing off the hood! Because that's how we roll, right Shelly?'"
157,'I'm having a long conversation with Mom on the phone.','I'm having a long conversation with Mom on the phone.'
158,'Yay! I just requested her. What did she say?','Yay! I just requested her. What did she say?'
159,"'Today is our two month anniversary! I love you so much, Diana. Oh my God, you don't even know!'","'Today is our two month anniversary! I love you so much, Diana. Oh my God, you don't even know!'"
160,"'Just trying to get inspired, that's all.'","'Just trying to get inspired, that's all.'"
161,"'Oh, don't you love that I live for those days! Thank you for the picture!'","'Oh, don't you love that I live for those days! Thank you for the picture!'"
162,"'My hand is still pretty weak. I can't punch anyone out yet or turn knobs, but it doesn't hurt too much.'","'My hand is still pretty weak. I can't punch anyone out yet or turn knobs, but it doesn't hurt too much.'"
163,'You're telling me! I just finished doing 200 crunches! Let's Go!','You're telling me! I just finished doing 200 crunches! Let's Go!'
164,"'Where is your home? Oh, I know Lexington, KY. It is right next to me.'","'Where is your home? Oh, I know Lexington, KY. It is right next to me.'"
165,'I just spoke with my family in Japan via Skype. I love to see my little 16 month old nephew growing!','I just spoke with my family in Japan via Skype. I love to see my little 16 month old nephew growing!'
166,"'I'm not saying you should try it, but maybe you should.'","'I'm not saying you should try it, but maybe you should.'"
167,"'I'm back from school, it was a long walk. It's so flipping cold outside. Two days ago it was sunny, the next day it was raining and today it's snowing!'","'I'm back from school, it was a long walk. It's so flipping cold outside. Two days ago it was sunny, the next day it was raining and today it's snowing!'"
168,"'Okay, I'll try to figure it out. I'm going to go to bed. Goodnight.'","'Okay, I'll try to figure it out. I'm going to go to bed. Goodnight.'"
169,"'Oh, It's real, Jon! We all are so excited that you and the guys came back for us. We appreciate all that you put out there!'","'Oh, It's real, Jon! We all are so excited that you and the guys came back for us. We appreciate all that you put out there!'"
170,"'Thank you! I am at home pretty much anywhere, provided I have broadband. Just kidding.'","'Thank you! I am at home pretty much anywhere, provided I have broadband. Just kidding.'"
171,'I am calling it a night! I always have the best sleep after a good workout!','I am calling it a night! I always have the best sleep after a good workout!'
172,"'Hmmm, sure. So what are you up to? How was your day?'","'Hmmm, sure. So what are you up to? How was your day?'"
173,'I agree. My kids got 'Who am I' for Christmas. It has been fun but I caught my 4 year old cheating by looking in the reflection of the TV.','I agree. My kids got 'Who am I' for Christmas. It has been fun but I caught my 4 year old cheating by looking in the reflection of the TV.'
174,'What are you laughing about Ms. Yen?','What are you laughing about Ms. Yen?'
175,"'Hell yeah, I'm definitely downloading it. Thanks.'","'Hell yeah, I'm definitely downloading it. Thanks.'"
176,'We are so stinking cute.','We are so stinking cute.'
177,"'I am pulling an all nighter with my best friend for life, Madison.'","'I am pulling an all nighter with my best friend for life, Madison.'"
178,"'I'm going to bed. My baby isn't working and I am bored. Goodnight everyone. Tomorrow, love me harder than you did today.'","'I'm going to bed. My baby isn't working and I am bored. Goodnight everyone. Tomorrow, love me harder than you did today.'"
179,"'I'm laughing so hard. Nigger please, you are acting like a fool right now.'","'I'm laughing so hard. Nigger please, you are acting like a fool right now.'"
180,"'Oh! I'm going to go buy Twilight on DVD today. I have to extend my overdraft for the second time in as many weeks, so I might as well!'","'Oh! I'm going to go buy Twilight on DVD today. I have to extend my overdraft for the second time in as many weeks, so I might as well!'"
181,'I just got home from school. I meant to get my hair cut but I can't. I am dancing soon.','I just got home from school. I meant to get my hair cut but I can't. I am dancing soon.'
182,"'I'm going to sleep, I have an interview tomorrow! Wish me luck.'","'I'm going to sleep, I have an interview tomorrow! Wish me luck.'"
183,'I'm not there yet. And I believe so. I hope there is a red carpet sighting.','I'm not there yet. And I believe so. I hope there is a red carpet sighting.'
184,'I couldn't agree more! The unity and commitment was incredible. Considering the pressure they are under made it all the more amazing.','I couldn't agree more! The unity and commitment was incredible. Considering the pressure they are under made it all the more amazing.'
185,"'Hey, I want to get together.'","'Hey, I want to get together.'"
186,'I'm going to do both of those things.','I'm going to do both of those things.'
187,"'Congratulations from Peru! You were and are amazing! I was speechless, thank you so much! Please come her someday, I'll seriously wait forever.'","'Congratulations from Peru! You were and are amazing! I was speechless, thank you so much! Please come her someday, I'll seriously wait forever.'"
188,"'Sending much love to Mary and John, who are now both folling me on Twitter.'","'Sending much love to Mary and John, who are now both folling me on Twitter.'"
189,'God sure does love me. I'm feeling really blessed tonight.','God sure does love me. I'm feeling really blessed tonight.'
190,'Not yet my brother from another mother.','Not yet my brother from another mother.'
191,"'Nice one! I'll take something. Yeah, there's a party over there. You know how much they drink. Will I be seeing you at Janet's party?'","'Nice one! I'll take something. Yeah, there's a party over there. You know how much they drink. Will I be seeing you at Janet's party?'"
192,"'I am sorry, I am talking to my best friend so I haven't replied! But I can talk to you, too.'","'I am sorry, I am talking to my best friend so I haven't replied! But I can talk to you, too.'"
193,"'Oh, ok. Then I'm going to go and buy one for when I come visit.'","'Oh, ok. Then I'm going to go and buy one for when I come visit.'"
194,"'Good morning, Chubbx! How are you today?'","'Good morning, Chubbx! How are you today?'"
195,'That is most excellent! There are a lot of people loving you.','That is most excellent! There are a lot of people loving you.'
196,"'I'm just watching three episodes of your show HM. I must say, I instantly became a fan of yours! I am loving your humor so much! More power to you!'","'I'm just watching three episodes of your show HM. I must say, I instantly became a fan of yours! I am loving your humor so much! More power to you!'"
197,'Hey you!','Hey you!'
198,"'I'm studying philosophy and math, also known as listening to music and being on Twitter, Facebook and Myspace.'","'I'm studying philosophy and math, also known as listening to music and being on Twitter, Facebook and Myspace.'"
199,'Will you ask Donnie if he got the gift from my 9 year old last night?','Will you ask Donnie if he got the gift from my 9 year old last night?'
